PRAY_1	PRAY_2	PRAY_3	PRAY_4	PRAY_5	AWARD_TYPE_1	AWARD_VALUE_1	AWARD_TYPE_2	AWARD_VALUE_2	AWARD_TYPE_3	AWARD_VALUE_3	AWARD_TYPE_4	AWARD_VALUE_4	AWARD_TYPE_5	AWARD_VALUE_5	AWARD_TYPE_6	AWARD_VALUE_6	AWARD_TYPE_7	AWARD_VALUE_7	AWARD_TYPE_8	AWARD_VALUE_8	AWARD_TYPE_9	AWARD_VALUE_9	AWARD_TYPE_10	AWARD_VALUE_10	PRAYWORDS	PRAYTHING
1	2	0	0	0	item	18,1,80,1	effect	878,6,2,64800,1,0,1	effect	880,1,2,64800,1,0,1									repute	5,4,1					<color=blue>Kim năng khắc Mộc, Mộc kiên Kim khuyết! Ngày nay việc hành sự tuy có lợi, nhưng điều khó khăn cũng ko thể xem thường<color>	<color=blue>Suy sâu nghĩ kỹ; hành sự lỗ mãng thì chỉ nếm trái đắng mà thôi.<color>
1	3	0	0	0	item	18,1,80,1	effect	878,6,2,64800,1,0,1	effect	876,5,2,64800,1,0,1									repute	5,4,1					<color=blue>Kim năng sinh Thủy, Thủy đa Kim trầm! Dùng vũ lực đoạt lợi, thì chỉ chuốc lấy cái hại.<color>	<color=blue>Tức vũ chỉ qua; các hạ ngày nay đừng nên nghĩ đến việc đánh nhau, hãy lo tu dưỡng bản thân.<color>
1	4	0	0	0	item	18,1,80,1	effect	878,6,2,64800,1,0,1	effect	879,1,2,64800,1,0,1									repute	5,4,1					<color=blue>Kim suy ngộ Hỏa, tất kiến tiêu dong! Cường địch trước mắt, cẩn thận hành sự.<color>	<color=blue>Án binh bất động; quan sát động tịnh, tương kế hành động, mạo muội tấn công ắt thất bại.<color>
1	5	0	0	0	item	18,1,80,1	effect	878,6,2,64800,1,0,1	effect	877,5,2,64800,1,0,1									repute	5,4,1					<color=blue>Kim lại Thổ sinh, Thổ đa Kim mai! Thói hư tật xấu sẽ chôn vùi tài năng một con người.<color>	<color=blue>Rồng còn ẩn thì không dùng được, trời dịch chuyển mạnh mẽ, người quân tử suốt ngày tự cường.<color>
2	1	0	0	0	item	18,1,80,1	effect	880,2,2,64800,1,0,1	effect	878,5,2,64800,1,0,1									repute	5,4,1					<color=blue>Mộc nhược phùng Kim, tất vi chước chiết! Ngày nay, hành sự chỉ có hại mà không có lợi.<color>	<color=blue>Gối đầu cao mà nằm; ngày nay không nghĩ đến việc tranh đoạt thì ngày sau khi ngủ không phải lo âu.<color>
2	3	0	0	0	item	18,1,80,1	effect	880,2,2,64800,1,0,1	effect	876,5,2,64800,1,0,1									repute	5,4,1					<color=blue>Mộc lại Thủy sinh, Thủy đa Mộc phiêu! Số mệnh chưa hết, việc lo buồn ắt chưa dứt.<color>	<color=blue>Viễn lự; nghĩa là người quân tử không lo xa ắt sẽ nghĩ gần, vận khí ngày nay chưa dứt, việc đáng lo trước sau gì cũng đến thôi.<color>
2	4	0	0	0	item	18,1,80,1	effect	880,2,2,64800,1,0,1	effect	879,1,2,64800,1,0,1									repute	5,4,1					<color=blue>Mộc năng sinh Hỏa, Hỏa đa Mộc phần! Thời vận đã hết, con đường vận mệnh thật khó đoán.<color>	<color=blue>Tĩnh hậu giai âm; nghĩa là lấy sự nhẫn nại để đối nhân xử thế, ắt có phúc lớn về sau.<color>
2	5	0	0	0	item	18,1,80,1	effect	880,2,2,64800,1,0,1	effect	877,5,2,64800,1,0,1									repute	5,4,1					<color=blue>Mộc năng khắc Thổ, Thổ đa Mộc chiết! Thời vận đến, vô phúc ắt tiêu vong.<color>	<color=blue>Vật chiếm tiểu lợi; cái lợi nhỏ như đầu con ruồi, người quân tử không quan tâm.<color>
3	1	0	0	0	item	18,1,80,1	effect	876,6,2,64800,1,0,1	effect	878,5,2,64800,1,0,1									repute	5,4,1					<color=blue>Thủy lại Kim sinh, Kim đa Thủy trọc. Tính chất của nước vốn bao dung nhưng cũng có giới hạn.<color>	<color=blue>Sửa tính để hành sự; việc bao dung vô hạn có khi làm hại người khác.<color>
3	2	0	0	0	item	18,1,80,1	effect	876,6,2,64800,1,0,1	effect	880,1,2,64800,1,0,1									repute	5,4,1					<color=blue>Thủy năng sinh Mộc, Mộc đa Thủy thúc! Mọi việc cũng thế, đầu đuôi cũng do sự đố kỵ ghen ghét mà hỏng cả.<color>	<color=blue>Bình thường tâm; ví như cho đi một vật thì ắt nhận được sự đáp trả, nếu không như thế, mọi mối quan hệ không bền vững.<color>
3	4	0	0	0	item	18,1,80,1	effect	876,6,2,64800,1,0,1	effect	879,1,2,64800,1,0,1									repute	5,4,1					<color=blue>Thủy năng khắc Hỏa, Hỏa đa Thủy can! Tình tuy vô biên nhưng cuộc sống thì hữu hạn, nên biết điều đó.<color>	<color=blue>Tâm mê muội; như lửa mạnh, nước yếu khó dập tắt, hãy cẩn thận.<color>
3	5	0	0	0	item	18,1,80,1	effect	876,6,2,64800,1,0,1	effect	877,5,2,64800,1,0,1									repute	5,4,1					<color=blue>Thủy nhược phùng Thổ, tất vi ứ tắc! Khổng Tử nhập thế, khanh làm thế nào để hùng mạnh.<color>	<color=blue>Tâm trạng dưới ánh tà dương, xuân đã tận, lòng đã úa, mùa thu cũ thật khó tìm lại được, con đường xưa khiến lòng người bồi hồi.<color>
4	1	0	0	0	item	18,1,80,1	effect	879,2,2,64800,1,0,1	effect	878,5,2,64800,1,0,1									repute	5,4,1					<color=blue>Hỏa năng khắc Kim, Kim đa Hỏa tức! Việc hành sự ngày nay tương đối thuận lợi, nhưng không phải không có khó khăn.<color>	<color=blue>Mọi việc đều phải dụng tâm; dẫu việc khó nan giải phức tạp đến đâu, chỉ cần cẩn thận thì khó mà sai lầm.<color>
4	2	0	0	0	item	18,1,80,1	effect	879,2,2,64800,1,0,1	effect	880,1,2,64800,1,0,1									repute	5,4,1					<color=blue>Hỏa lại Mộc sinh, Mộc đa Hỏa sí! Tráng chí chưa thỏa, lòng không khỏi nôn nao.<color>	<color=blue>Tĩnh tâm; tâm loạn thì chí khó thành; chỉ cần ra ngoài thành phía đông là thấy trúc mọc xanh xanh; gần đấy nhưng chẳng ưu phiền.<color>
